Lat,Lon,Pop Density,Intersections,Pedways,Bikeways,POIs,Transit,WalkScore
41.9519,-87.765,16558.59,15.28,550.04,3.82,110.77,61.12,74
41.906,-87.6251,60598.04,183.35,1856.38,38.2,367.97,154.06,94
41.9991,-87.6762,18560.78,114.59,2109.76,16.55,272.47,73.85,82
41.6475,-87.5632,1382.82,3.82,84.03,0.0,7.64,3.82,6
41.7993,-87.5842,24593.33,71.3,1476.96,16.55,275.02,137.51,91
41.7948,-87.7715,11511.76,12.73,2672.53,0.0,87.85,45.84,78
41.7319,-87.6438,9385.42,22.92,621.34,10.19,66.21,100.59,57
41.8807,-87.6706,5022.08,147.7,2995.93,98.04,3796.8,207.54,80
41.9703,-87.7069,33229.36,33.1,2254.91,84.03,178.25,90.4,68
41.7355,-87.604,16611.11,8.91,1613.19,0.0,85.31,70.03,85
41.9205,-87.7957,12537.39,24.19,1054.24,0.0,95.49,45.84,68
41.942,-87.7744,15553.36,14.01,446.91,10.19,81.49,80.21,76
41.9904,-87.6794,5116.8,114.59,1619.56,12.73,233.0,62.39,76
41.9538,-87.7871,4997.45,35.65,793.23,6.37,169.34,61.12,82
41.8609,-87.6435,6486.51,76.39,2024.45,54.75,319.58,115.86,86
41.714,-87.6573,9110.54,21.65,677.36,26.74,59.84,92.95,59
41.9787,-87.7424,1872.82,25.46,1182.84,3.82,78.94,35.65,14
41.6797,-87.5447,2251.8,6.37,199.9,3.82,28.01,30.56,28
41.9059,-87.7017,3005.41,40.74,1698.5,80.21,159.15,85.31,75
41.8248,-87.66,8119.05,19.1,883.63,6.37,99.31,86.58,51
41.9752,-87.8069,11187.63,22.92,292.85,0.0,70.03,57.3,85
41.7997,-87.7795,11511.76,5.09,1730.33,0.0,44.56,20.37,54
41.7144,-87.5907,2994.14,8.91,505.48,0.0,28.01,21.65,30
41.8843,-87.7406,14651.95,47.11,1744.34,10.19,73.85,64.94,53
41.9728,-87.6684,23152.44,110.77,2338.94,63.66,353.96,142.6,91
41.8807,-87.6693,5022.08,157.88,3009.94,98.04,3838.82,210.08,84
41.9263,-87.6411,53666.67,120.96,1888.21,90.4,525.85,145.15,97
41.7667,-87.7056,7603.72,17.83,1217.22,3.82,20.37,45.84,58
41.8398,-87.7247,24000.0,29.28,2631.79,8.91,89.13,99.31,85
41.9773,-87.7434,1872.82,26.74,1193.03,7.64,86.58,30.56,25
41.9039,-87.7615,24320.31,58.57,2743.83,31.83,80.21,80.21,74
41.9753,-87.7166,10223.58,67.48,1843.65,25.46,146.42,76.39,77
41.6741,-87.5347,2251.8,3.82,76.39,5.09,43.29,22.92,3
41.7249,-87.6062,9066.2,14.01,1717.6,5.09,76.39,142.6,58
41.7032,-87.5687,433.81,5.09,835.25,3.82,28.01,73.85,16
41.6927,-87.5521,433.81,0.0,171.89,0.0,2.55,24.19,0
41.7135,-87.6739,7036.89,10.19,543.67,11.46,61.12,56.02,72
41.7172,-87.5473,4413.75,7.64,1017.32,6.37,24.19,38.2,49
41.7284,-87.6582,13769.43,14.01,338.68,16.55,110.77,91.67,75
41.9174,-87.7382,19660.26,43.29,1948.06,21.65,112.05,85.31,76
41.8087,-87.5961,14632.0,40.74,1531.71,3.82,150.24,128.6,78
41.817,-87.7239,2309.52,15.28,165.52,0.0,38.2,15.28,53
41.6457,-87.5847,3101.08,0.0,17.83,0.0,7.64,0.0,4
41.8401,-87.7101,27409.45,28.01,1884.39,25.46,90.4,106.95,74
41.7861,-87.7999,11206.63,11.46,2261.27,0.0,71.3,45.84,76
41.708,-87.545,4413.75,3.82,989.31,3.82,35.65,58.57,42
